ID: 0, Name: Idle, BasePriority: 0
ID: 14948, Name: ApplicationFrameHost, BasePriority: 8
ID: 1632, Name: Calculator, BasePriority: 8
ID: 12352, Name: RuntimeBroker, BasePriority: 8
ID: 13900, Name: svchost, BasePriority: 8
ID: 14472, Name: svchost, BasePriority: 8
ID: 10924, Name: SgrmBroker, BasePriority: 8
ID: 6528, Name: svchost, BasePriority: 8
ID: 14840, Name: LenovoVantage-(DeviceSettingsSystemAddin), BasePriority: 8
ID: 13120, Name: svchost, BasePriority: 8
ID: 8252, Name: svchost, BasePriority: 8
ID: 15264, Name: svchost, BasePriority: 8
ID: 7616, Name: svchost, BasePriority: 8
ID: 14064, Name: svchost, BasePriority: 8
ID: 10332, Name: RtkUWP, BasePriority: 8
ID: 16304, Name: RuntimeBroker, BasePriority: 8
ID: 1012, Name: SearchApp, BasePriority: 8
ID: 4944, Name: dllhost, BasePriority: 8
ID: 2944, Name: ShellExperienceHost, BasePriority: 8
ID: 13620, Name: RuntimeBroker, BasePriority: 8
ID: 6636, Name: armsvc, BasePriority: 8
ID: 15352, Name: SearchIndexer, BasePriority: 8
ID: 2432, Name: svchost, BasePriority: 8
ID: 9016, Name: MoUsoCoreWorker, BasePriority: 8
ID: 12332, Name: rundll32, BasePriority: 8
ID: 22972, Name: Microsoft.Photos, BasePriority: 8
ID: 16512, Name: RuntimeBroker, BasePriority: 8
ID: 21288, Name: servicehost, BasePriority: 8
ID: 21216, Name: icacls, BasePriority: 8
ID: 15408, Name: svchost, BasePriority: 8
ID: 17264, Name: MpCopyAccelerator, BasePriority: 8
ID: 13692, Name: dllhost, BasePriority: 8
ID: 21704, Name: svchost, BasePriority: 8
ID: 16772, Name: NVDisplay.Container, BasePriority: 8
ID: 17372, Name: UserOOBEBroker, BasePriority: 8
ID: 19116, Name: Lenovo.Modern.ImController.PluginHost.SettingsApp, BasePriority: 8
ID: 13872, Name: uihost, BasePriority: 8
ID: 26792, Name: Lenovo.Modern.ImController.PluginHost.Device, BasePriority: 8
ID: 10580, Name: SDXHelper, BasePriority: 4
ID: 23704, Name: Discord, BasePriority: 8
ID: 25272, Name: Discord, BasePriority: 8
ID: 13192, Name: Discord, BasePriority: 10
ID: 11936, Name: Discord, BasePriority: 8
ID: 9516, Name: Discord, BasePriority: 8
ID: 21980, Name: Discord, BasePriority: 8
ID: 14224, Name: svchost, BasePriority: 8
ID: 27456, Name: svchost, BasePriority: 8
ID: 2200, Name: dllhost, BasePriority: 8
ID: 26668, Name: DTShellHlp, BasePriority: 8
ID: 17528, Name: msedge, BasePriority: 8
ID: 19980, Name: msedge, BasePriority: 8
ID: 25816, Name: msedge, BasePriority: 10
ID: 21144, Name: msedge, BasePriority: 8
ID: 16152, Name: msedge, BasePriority: 8
ID: 20880, Name: msedge, BasePriority: 4
ID: 23492, Name: msedge, BasePriority: 4
ID: 15648, Name: svchost, BasePriority: 8
ID: 13644, Name: Lenovo.Modern.ImController.PluginHost.SettingsApp, BasePriority: 8
ID: 16364, Name: taskhostw, BasePriority: 8
ID: 10908, Name: LenovoVantage-(LenovoSecurityAddin), BasePriority: 8
ID: 13704, Name: PhoneExperienceHost, BasePriority: 8
ID: 27132, Name: svchost, BasePriority: 8
ID: 24960, Name: LenovoVantage-(DeviceSettingsHeartbeatAddin), BasePriority: 8
ID: 17860, Name: Telegram, BasePriority: 8
ID: 20672, Name: WinRAR, BasePriority: 8
ID: 16128, Name: chrome, BasePriority: 8
ID: 14580, Name: chrome, BasePriority: 8
ID: 1468, Name: chrome, BasePriority: 10
ID: 16960, Name: chrome, BasePriority: 8
ID: 27160, Name: chrome, BasePriority: 8
ID: 11952, Name: chrome, BasePriority: 4
ID: 13776, Name: chrome, BasePriority: 8
ID: 22904, Name: chrome, BasePriority: 4
ID: 4812, Name: chrome, BasePriority: 4
ID: 21352, Name: chrome, BasePriority: 4
ID: 21584, Name: chrome, BasePriority: 4
ID: 7692, Name: chrome, BasePriority: 4
ID: 14232, Name: chrome, BasePriority: 4
ID: 8012, Name: chrome, BasePriority: 4
ID: 13948, Name: svchost, BasePriority: 8
ID: 13548, Name: devenv, BasePriority: 8
ID: 22240, Name: Microsoft.ServiceHub.Controller, BasePriority: 8
ID: 13796, Name: ServiceHub.IdentityHost, BasePriority: 8
ID: 20192, Name: ServiceHub.VSDetouredHost, BasePriority: 8
ID: 27444, Name: vsls-agent, BasePriority: 8
ID: 13404, Name: conhost, BasePriority: 8
ID: 23788, Name: ServiceHub.SettingsHost, BasePriority: 8
ID: 19336, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 2344, Name: chrome, BasePriority: 4
ID: 9076, Name: chrome, BasePriority: 4
ID: 18704, Name: svchost, BasePriority: 8
ID: 4748, Name: ServiceHub.ThreadedWaitDialog, BasePriority: 8
ID: 10944, Name: SearchProtocolHost, BasePriority: 4
ID: 12684, Name: MSBuild, BasePriority: 8
ID: 4776, Name: ServiceHub.RoslynCodeAnalysisService, BasePriority: 8
ID: 20376, Name: conhost, BasePriority: 8
ID: 8840, Name: ServiceHub.Host.CLR.x64, BasePriority: 8
ID: 7676, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 22160, Name: svchost, BasePriority: 8
ID: 27644, Name: VBCSCompiler, BasePriority: 8
ID: 9020, Name: conhost, BasePriority: 8
ID: 18552, Name: audiodg, BasePriority: 8
ID: 24292, Name: VsDebugConsole, BasePriority: 8
ID: 24180, Name: conhost, BasePriority: 8
ID: 15604, Name: OOP_Lad_14.Streams, BasePriority: 8
ID: 0, Name: Idle, BasePriority: 0
ID: 4, Name: System, BasePriority: 8
ID: 148, Name: Registry, BasePriority: 8
ID: 560, Name: smss, BasePriority: 11
ID: 1004, Name: csrss, BasePriority: 13
ID: 1128, Name: wininit, BasePriority: 13
ID: 1136, Name: csrss, BasePriority: 13
ID: 1204, Name: services, BasePriority: 9
ID: 1212, Name: lsass, BasePriority: 9
ID: 1352, Name: svchost, BasePriority: 8
ID: 1384, Name: fontdrvhost, BasePriority: 8
ID: 1420, Name: WUDFHost, BasePriority: 8
ID: 1496, Name: svchost, BasePriority: 8
ID: 1540, Name: svchost, BasePriority: 8
ID: 1592, Name: winlogon, BasePriority: 13
ID: 1652, Name: fontdrvhost, BasePriority: 8
ID: 1724, Name: dwm, BasePriority: 13
ID: 1828, Name: svchost, BasePriority: 8
ID: 1848, Name: svchost, BasePriority: 8
ID: 1856, Name: svchost, BasePriority: 8
ID: 1956, Name: svchost, BasePriority: 8
ID: 1964, Name: svchost, BasePriority: 8
ID: 1052, Name: svchost, BasePriority: 8
ID: 1376, Name: svchost, BasePriority: 8
ID: 1488, Name: svchost, BasePriority: 8
ID: 1124, Name: svchost, BasePriority: 8
ID: 2072, Name: svchost, BasePriority: 8
ID: 2100, Name: svchost, BasePriority: 8
ID: 2164, Name: svchost, BasePriority: 8
ID: 2264, Name: svchost, BasePriority: 8
ID: 2472, Name: svchost, BasePriority: 8
ID: 2568, Name: svchost, BasePriority: 8
ID: 2612, Name: svchost, BasePriority: 8
ID: 2708, Name: NVDisplay.Container, BasePriority: 8
ID: 2748, Name: svchost, BasePriority: 8
ID: 2808, Name: svchost, BasePriority: 8
ID: 2816, Name: dasHost, BasePriority: 8
ID: 2828, Name: svchost, BasePriority: 8
ID: 2928, Name: atiesrxx, BasePriority: 8
ID: 2948, Name: svchost, BasePriority: 8
ID: 3016, Name: svchost, BasePriority: 8
ID: 2924, Name: svchost, BasePriority: 8
ID: 3124, Name: svchost, BasePriority: 8
ID: 3156, Name: svchost, BasePriority: 8
ID: 3164, Name: svchost, BasePriority: 8
ID: 3176, Name: svchost, BasePriority: 8
ID: 3184, Name: atieclxx, BasePriority: 8
ID: 3304, Name: Memory Compression, BasePriority: 8
ID: 3352, Name: svchost, BasePriority: 8
ID: 3428, Name: svchost, BasePriority: 8
ID: 3436, Name: svchost, BasePriority: 8
ID: 3492, Name: NVDisplay.Container, BasePriority: 8
ID: 3640, Name: svchost, BasePriority: 8
ID: 3764, Name: svchost, BasePriority: 8
ID: 3804, Name: svchost, BasePriority: 8
ID: 3908, Name: WmiPrvSE, BasePriority: 8
ID: 4004, Name: svchost, BasePriority: 8
ID: 4012, Name: svchost, BasePriority: 8
ID: 4168, Name: svchost, BasePriority: 8
ID: 4232, Name: svchost, BasePriority: 8
ID: 4280, Name: spoolsv, BasePriority: 8
ID: 4356, Name: svchost, BasePriority: 8
ID: 4436, Name: svchost, BasePriority: 8
ID: 4704, Name: svchost, BasePriority: 8
ID: 4712, Name: svchost, BasePriority: 8
ID: 4720, Name: svchost, BasePriority: 8
ID: 4728, Name: svchost, BasePriority: 8
ID: 4736, Name: svchost, BasePriority: 8
ID: 4744, Name: FMService64, BasePriority: 8
ID: 4760, Name: Lenovo.Modern.ImController, BasePriority: 8
ID: 4776, Name: DAX3API, BasePriority: 8
ID: 4768, Name: hamachi-2, BasePriority: 8
ID: 4788, Name: LenovoVantageService, BasePriority: 8
ID: 4808, Name: servicehost, BasePriority: 8
ID: 4824, Name: svchost, BasePriority: 8
ID: 4840, Name: niauth_daemon, BasePriority: 8
ID: 4848, Name: OfficeClickToRun, BasePriority: 8
ID: 4868, Name: armsvc, BasePriority: 8
ID: 4924, Name: nisvcloc, BasePriority: 8
ID: 4964, Name: svchost, BasePriority: 8
ID: 4972, Name: RtkBtManServ, BasePriority: 8
ID: 4980, Name: svchost, BasePriority: 8
ID: 5008, Name: RvControlSvc, BasePriority: 24
ID: 5028, Name: RtkAudUService64, BasePriority: 8
ID: 5088, Name: svchost, BasePriority: 8
ID: 5096, Name: svchost, BasePriority: 8
ID: 4400, Name: MsMpEng, BasePriority: 8
ID: 5404, Name: svchost, BasePriority: 8
ID: 5440, Name: lkads, BasePriority: 8
ID: 5660, Name: svchost, BasePriority: 8
ID: 5708, Name: nimdnsResponder, BasePriority: 8
ID: 5808, Name: lktsrv, BasePriority: 8
ID: 5880, Name: nidmsrv, BasePriority: 8
ID: 5908, Name: LMIGuardianSvc, BasePriority: 8
ID: 6028, Name: niDiscSvc, BasePriority: 8
ID: 7096, Name: DAX3API, BasePriority: 8
ID: 8060, Name: svchost, BasePriority: 8
ID: 7832, Name: NisSrv, BasePriority: 8
